"Sample01" "Sample02" "Sample03" "Sample04" "Sample05" "Sample06" "Sample07" "Sample08" "Sample09" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59" "Sample60" "Sample61" "Sample62" "Sample63"
"Microbe60" 1 0 1 2 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Microbe61" 4 5 2 47 1 6 415 150 0 1 24 1 19 284 0 1 0 5 26 90 1 1614 68 53 450 759 163 2 74 307 0 38 2 381 34 143 70 1541 52 60 0 6 2 4 1 5 262 0 0 24 19 4 0 0 733 0 6 8 0 0 0 1 1
"Microbe62" 54 0 1 0 26 1 0 0 0 1 0 0 0 0 1 0 23 0 0 0 0 0 0 1 0 0 0 122 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 59 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0
"Microbe63" 0 0 1 0 0 3 8 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 5 0 1 5 1 0 2 8 0 1 0 1 0 0 0 3 0 0 2 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe64" 37 1 0 14 17 27 32 15 3 5 0 0 1 5 20 0 16 0 0 23 8 3 2 15 17 24 3 72 28 10 4 34 6 29 3 22 5 1 0 88 14 0 2 0 39 0 0 0 0 0 0 4 0 0 4 0 0 0 5 0 0 0 0
"Microbe65" 495 96 40 125 356 1145 877 23 247 83 5 42 2 18 636 4 1283 8 1 119 124 1 127 12 125 16 3 2161 201 139 667 140 90 1 3 15 1 0 0 8 52 55 0 272 2528 56 0 76 0 1 0 30 0 111 0 2 3 1 5 1 4 0 1
"Microbe66" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe67" 5 0 2 1 1 6 1 2 0 0 0 0 0 5 0 0 2 0 0 0 0 0 1 1 1 0 1 0 3 1 0 36 0 3 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe68" 0 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 5 1 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe69" 0 0 0 1 0 6 2 1 0 0 0 1 0 4 0 0 1 0 0 3 0 0 3 0 1 0 1 3 1 1 1 15 2 1 0 1 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"Microbe70" 4 0 0 1 2 1 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe71" 0 0 0 0 0 0 0 34 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe72" 1 2 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
